Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1880147,-,-,-,31.25,34.82,0,295,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,GHI
2018,1,1,0,30,0,0
2018,1,1,1,30,0,0
2018,1,1,2,30,0,0
2018,1,1,3,30,0,0
2018,1,1,4,30,0,0
2018,1,1,5,30,0,8
2018,1,1,6,30,0,22
2018,1,1,7,30,0,22
2018,1,1,8,30,0,31
2018,1,1,9,30,0,40
2018,1,1,10,30,0,118
2018,1,1,11,30,0,138
2018,1,1,12,30,0,34
2018,1,1,13,30,0,24
2018,1,1,14,30,0,5
2018,1,1,15,30,0,0
2018,1,1,16,30,0,0
2018,1,1,17,30,0,0
2018,1,1,18,30,0,0
2018,1,1,19,30,0,0
2018,1,1,20,30,0,0
2018,1,1,21,30,0,0
2018,1,1,22,30,0,0
2018,1,1,23,30,0,0
2018,1,2,0,30,0,0
2018,1,2,1,30,0,0
2018,1,2,2,30,0,0
2018,1,2,3,30,0,0
2018,1,2,4,30,0,0
2018,1,2,5,30,339,107
2018,1,2,6,30,0,22
2018,1,2,7,30,40,203
2018,1,2,8,30,0,49
2018,1,2,9,30,98,327
2018,1,2,10,30,7,193
2018,1,2,11,30,85,266
2018,1,2,12,30,77,194
2018,1,2,13,30,567,201
2018,1,2,14,30,166,33
2018,1,2,15,30,0,0
2018,1,2,16,30,0,0
2018,1,2,17,30,0,0
2018,1,2,18,30,0,0
2018,1,2,19,30,0,0
2018,1,2,20,30,0,0
2018,1,2,21,30,0,0
2018,1,2,22,30,0,0
2018,1,2,23,30,0,0
2018,1,3,0,30,0,0
2018,1,3,1,30,0,0
2018,1,3,2,30,0,0
2018,1,3,3,30,0,0
2018,1,3,4,30,0,0
2018,1,3,5,30,5,52
2018,1,3,6,30,85,158
2018,1,3,7,30,243,305
2018,1,3,8,30,859,566
2018,1,3,9,30,401,473
2018,1,3,10,30,876,602
2018,1,3,11,30,351,384
2018,1,3,12,30,91,203
2018,1,3,13,30,168,132
2018,1,3,14,30,27,23
2018,1,3,15,30,0,0
2018,1,3,16,30,0,0
2018,1,3,17,30,0,0
2018,1,3,18,30,0,0
2018,1,3,19,30,0,0
2018,1,3,20,30,0,0
2018,1,3,21,30,0,0
2018,1,3,22,30,0,0
2018,1,3,23,30,0,0
2018,1,4,0,30,0,0
2018,1,4,1,30,0,0
2018,1,4,2,30,0,0
2018,1,4,3,30,0,0
2018,1,4,4,30,0,0
2018,1,4,5,30,0,8
2018,1,4,6,30,469,268
2018,1,4,7,30,582,418
2018,1,4,8,30,1,165
2018,1,4,9,30,226,406
2018,1,4,10,30,411,520
2018,1,4,11,30,376,446
2018,1,4,12,30,0,31
2018,1,4,13,30,0,15
2018,1,4,14,30,0,4
2018,1,4,15,30,0,0
2018,1,4,16,30,0,0
2018,1,4,17,30,0,0
2018,1,4,18,30,0,0
2018,1,4,19,30,0,0
2018,1,4,20,30,0,0
2018,1,4,21,30,0,0
2018,1,4,22,30,0,0
2018,1,4,23,30,0,0
2018,1,5,0,30,0,0
2018,1,5,1,30,0,0
2018,1,5,2,30,0,0
2018,1,5,3,30,0,0
2018,1,5,4,30,0,0
2018,1,5,5,30,0,29
2018,1,5,6,30,0,13
2018,1,5,7,30,0,45
2018,1,5,8,30,29,234
2018,1,5,9,30,341,520
2018,1,5,10,30,0,53
2018,1,5,11,30,0,45
2018,1,5,12,30,0,17
2018,1,5,13,30,0,9
2018,1,5,14,30,0,4
2018,1,5,15,30,0,0
2018,1,5,16,30,0,0
2018,1,5,17,30,0,0
2018,1,5,18,30,0,0
2018,1,5,19,30,0,0
2018,1,5,20,30,0,0
2018,1,5,21,30,0,0
2018,1,5,22,30,0,0
2018,1,5,23,30,0,0
2018,1,6,0,30,0,0
2018,1,6,1,30,0,0
2018,1,6,2,30,0,0
2018,1,6,3,30,0,0
2018,1,6,4,30,0,0
2018,1,6,5,30,0,8
2018,1,6,6,30,0,22
2018,1,6,7,30,0,37
2018,1,6,8,30,0,48
2018,1,6,9,30,20,234
2018,1,6,10,30,0,53
2018,1,6,11,30,0,113
2018,1,6,12,30,0,106
2018,1,6,13,30,0,15
2018,1,6,14,30,0,4
2018,1,6,15,30,0,0
2018,1,6,16,30,0,0
2018,1,6,17,30,0,0
2018,1,6,18,30,0,0
2018,1,6,19,30,0,0
2018,1,6,20,30,0,0
2018,1,6,21,30,0,0
2018,1,6,22,30,0,0
2018,1,6,23,30,0,0
2018,1,7,0,30,0,0
2018,1,7,1,30,0,0
2018,1,7,2,30,0,0
2018,1,7,3,30,0,0
2018,1,7,4,30,0,0
2018,1,7,5,30,340,106
2018,1,7,6,30,606,287
2018,1,7,7,30,170,279
2018,1,7,8,30,799,564
2018,1,7,9,30,852,621
2018,1,7,10,30,850,607
2018,1,7,11,30,817,527
2018,1,7,12,30,720,388
2018,1,7,13,30,559,213
2018,1,7,14,30,173,40
2018,1,7,15,30,0,0
2018,1,7,16,30,0,0
2018,1,7,17,30,0,0
2018,1,7,18,30,0,0
2018,1,7,19,30,0,0
2018,1,7,20,30,0,0
2018,1,7,21,30,0,0
2018,1,7,22,30,0,0
2018,1,7,23,30,0,0
2018,1,8,0,30,0,0
2018,1,8,1,30,0,0
2018,1,8,2,30,0,0
2018,1,8,3,30,0,0
2018,1,8,4,30,0,0
2018,1,8,5,30,539,121
2018,1,8,6,30,786,315
2018,1,8,7,30,894,483
2018,1,8,8,30,946,600
2018,1,8,9,30,888,638
2018,1,8,10,30,892,626
2018,1,8,11,30,866,547
2018,1,8,12,30,729,398
2018,1,8,13,30,558,219
2018,1,8,14,30,162,42
2018,1,8,15,30,0,0
2018,1,8,16,30,0,0
2018,1,8,17,30,0,0
2018,1,8,18,30,0,0
2018,1,8,19,30,0,0
2018,1,8,20,30,0,0
2018,1,8,21,30,0,0
2018,1,8,22,30,0,0
2018,1,8,23,30,0,0
2018,1,9,0,30,0,0
2018,1,9,1,30,0,0
2018,1,9,2,30,0,0
2018,1,9,3,30,0,0
2018,1,9,4,30,0,0
2018,1,9,5,30,450,114
2018,1,9,6,30,706,303
2018,1,9,7,30,825,470
2018,1,9,8,30,887,587
2018,1,9,9,30,312,448
2018,1,9,10,30,875,620
2018,1,9,11,30,842,540
2018,1,9,12,30,760,402
2018,1,9,13,30,603,224
2018,1,9,14,30,231,45
2018,1,9,15,30,0,0
2018,1,9,16,30,0,0
2018,1,9,17,30,0,0
2018,1,9,18,30,0,0
2018,1,9,19,30,0,0
2018,1,9,20,30,0,0
2018,1,9,21,30,0,0
2018,1,9,22,30,0,0
2018,1,9,23,30,0,0
2018,1,10,0,30,0,0
2018,1,10,1,30,0,0
2018,1,10,2,30,0,0
2018,1,10,3,30,0,0
2018,1,10,4,30,0,0
2018,1,10,5,30,390,111
2018,1,10,6,30,654,297
2018,1,10,7,30,784,463
2018,1,10,8,30,843,577
2018,1,10,9,30,862,630
2018,1,10,10,30,863,618
2018,1,10,11,30,309,384
2018,1,10,12,30,137,234
2018,1,10,13,30,0,67
2018,1,10,14,30,0,17
2018,1,10,15,30,0,0
2018,1,10,16,30,0,0
2018,1,10,17,30,0,0
2018,1,10,18,30,0,0
2018,1,10,19,30,0,0
2018,1,10,20,30,0,0
2018,1,10,21,30,0,0
2018,1,10,22,30,0,0
2018,1,10,23,30,0,0
2018,1,11,0,30,0,0
2018,1,11,1,30,0,0
2018,1,11,2,30,0,0
2018,1,11,3,30,0,0
2018,1,11,4,30,0,0
2018,1,11,5,30,361,111
2018,1,11,6,30,629,299
2018,1,11,7,30,754,466
2018,1,11,8,30,816,584
2018,1,11,9,30,907,652
2018,1,11,10,30,893,635
2018,1,11,11,30,847,553
2018,1,11,12,30,745,410
2018,1,11,13,30,539,225
2018,1,11,14,30,119,44
2018,1,11,15,30,0,0
2018,1,11,16,30,0,0
2018,1,11,17,30,0,0
2018,1,11,18,30,0,0
2018,1,11,19,30,0,0
2018,1,11,20,30,0,0
2018,1,11,21,30,0,0
2018,1,11,22,30,0,0
2018,1,11,23,30,0,0
2018,1,12,0,30,0,0
2018,1,12,1,30,0,0
2018,1,12,2,30,0,0
2018,1,12,3,30,0,0
2018,1,12,4,30,0,0
2018,1,12,5,30,76,84
2018,1,12,6,30,47,143
2018,1,12,7,30,471,417
2018,1,12,8,30,566,532
2018,1,12,9,30,552,574
2018,1,12,10,30,566,566
2018,1,12,11,30,543,494
2018,1,12,12,30,396,355
2018,1,12,13,30,241,191
2018,1,12,14,30,19,32
2018,1,12,15,30,0,0
2018,1,12,16,30,0,0
2018,1,12,17,30,0,0
2018,1,12,18,30,0,0
2018,1,12,19,30,0,0
2018,1,12,20,30,0,0
2018,1,12,21,30,0,0
2018,1,12,22,30,0,0
2018,1,12,23,30,0,0
2018,1,13,0,30,0,0
2018,1,13,1,30,0,0
2018,1,13,2,30,0,0
2018,1,13,3,30,0,0
2018,1,13,4,30,0,0
2018,1,13,5,30,113,90
2018,1,13,6,30,369,265
2018,1,13,7,30,530,426
2018,1,13,8,30,619,544
2018,1,13,9,30,722,612
2018,1,13,10,30,705,598
2018,1,13,11,30,648,518
2018,1,13,12,30,533,381
2018,1,13,13,30,331,205
2018,1,13,14,30,36,38
2018,1,13,15,30,0,0
2018,1,13,16,30,0,0
2018,1,13,17,30,0,0
2018,1,13,18,30,0,0
2018,1,13,19,30,0,0
2018,1,13,20,30,0,0
2018,1,13,21,30,0,0
2018,1,13,22,30,0,0
2018,1,13,23,30,0,0
2018,1,14,0,30,0,0
2018,1,14,1,30,0,0
2018,1,14,2,30,0,0
2018,1,14,3,30,0,0
2018,1,14,4,30,0,0
2018,1,14,5,30,324,107
2018,1,14,6,30,604,293
2018,1,14,7,30,726,458
2018,1,14,8,30,774,574
2018,1,14,9,30,817,634
2018,1,14,10,30,786,617
2018,1,14,11,30,710,532
2018,1,14,12,30,506,378
2018,1,14,13,30,298,204
2018,1,14,14,30,0,5
2018,1,14,15,30,0,0
2018,1,14,16,30,0,0
2018,1,14,17,30,0,0
2018,1,14,18,30,0,0
2018,1,14,19,30,0,0
2018,1,14,20,30,0,0
2018,1,14,21,30,0,0
2018,1,14,22,30,0,0
2018,1,14,23,30,0,0
2018,1,15,0,30,0,0
2018,1,15,1,30,0,0
2018,1,15,2,30,0,0
2018,1,15,3,30,0,0
2018,1,15,4,30,0,0
2018,1,15,5,30,431,114
2018,1,15,6,30,0,23
2018,1,15,7,30,11,172
2018,1,15,8,30,0,147
2018,1,15,9,30,0,103
2018,1,15,10,30,0,154
2018,1,15,11,30,0,108
2018,1,15,12,30,0,121
2018,1,15,13,30,0,23
2018,1,15,14,30,0,6
2018,1,15,15,30,0,0
2018,1,15,16,30,0,0
2018,1,15,17,30,0,0
2018,1,15,18,30,0,0
2018,1,15,19,30,0,0
2018,1,15,20,30,0,0
2018,1,15,21,30,0,0
2018,1,15,22,30,0,0
2018,1,15,23,30,0,0
2018,1,16,0,30,0,0
2018,1,16,1,30,0,0
2018,1,16,2,30,0,0
2018,1,16,3,30,0,0
2018,1,16,4,30,0,0
2018,1,16,5,30,526,122
2018,1,16,6,30,763,315
2018,1,16,7,30,869,484
2018,1,16,8,30,919,603
2018,1,16,9,30,913,655
2018,1,16,10,30,916,646
2018,1,16,11,30,891,569
2018,1,16,12,30,793,427
2018,1,16,13,30,647,249
2018,1,16,14,30,303,62
2018,1,16,15,30,0,0
2018,1,16,16,30,0,0
2018,1,16,17,30,0,0
2018,1,16,18,30,0,0
2018,1,16,19,30,0,0
